SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14936.461,.78200871E-02,.12605964E-01,.69305014
-14935.595,-.37220938E-01,-.30105177E-01,.69303212
-14935.990,-.28418305E-01,-.12643832E-01,.69330777
-14936.113,-.24952565E-01,-.12357835E-01,.69335266
-14941.520,-.14694203E-01,-.31385947E-01,.69332716
-14935.295,-.21749600E-01,-.13500416E-01,.69322822
-14937.922,-.11977826E-01,-.20333953E-01,.69335338
-14935.836,.15329987E-01,.36962661E-02,.69303977
-14934.377,-.26041188E-01,-.15800795E-01,.69306841
-14934.183,-.15937608E-01,-.12978948E-01,.69302640
-14934.901,-.43338949E-01,-.20473454E-01,.69300956
-14934.350,-.26813132E-01,-.17441172E-01,.69305393
-14936.126,-.25982521E-01,-.14281973E-01,.69335806
-14935.834,-.26244146E-01,-.18019035E-01,.69329153
-14934.771,-.19572927E-01,-.85883957E-02,.69312885
-14935.567,.12541260E-01,.61845293E-02,.69303910
-14938.215,-.63608817E-01,-.37729393E-01,.69318506
-14935.060,-.93326225E-02,-.14099275E-01,.69305989
-14936.961,.16577573E-01,-.40869089E-02,.69300808
-14936.557,.47612338E-02,-.12043837E-01,.69300879
-14935.467,-.31865918E-01,-.10215086E-01,.69312267
-14938.813,-.13833027E-01,.53889919E-02,.69343954
-14936.745,-.15397939E-01,-.42330897E-02,.69341258
-14937.038,-.57458857E-01,-.37134576E-01,.69307321
-14934.390,-.24141473E-01,-.78068803E-02,.69301169
-14939.410,-.44767601E-01,-.38781126E-01,.69336775
-14936.597,-.10103003E-01,-.39664298E-02,.69340410
-14936.448,-.32458455E-01,-.22095461E-01,.69335211
-14934.592,-.25643695E-01,-.19618037E-01,.69306079
-14934.281,-.14610534E-01,-.57596573E-02,.69303877
-14937.677,-.28020914E-01,-.13970808E-01,.69360191
-14937.965,.27784360E-01,.29120234E-02,.69302635
-14936.812,.95403804E-02,-.36342678E-02,.69320273
-14936.534,-.62502762E-02,.23861242E-02,.69329228
-14935.721,-.26523688E-01,-.23608730E-01,.69315532
-14934.755,-.22748419E-01,-.15732813E-01,.69312764
-14934.440,-.26252035E-01,-.15754660E-01,.69307868
-14936.198,-.18738040E-01,-.14963956E-01,.69335061
-14937.815,.10206646E-01,.59143322E-02,.69341958
-14934.644,-.32197574E-01,-.14594729E-01,.69306643
-14935.851,-.21898194E-01,-.24796567E-01,.69305391
-14937.098,.15453243E-01,.36157672E-02,.69323607
-14935.283,-.21200657E-01,-.16833759E-01,.69319163
-14936.348,-.43155718E-01,-.12607936E-01,.69306035
-14935.207,-.21558309E-01,-.20613698E-01,.69309657
-14934.928,-.27216169E-01,-.16169557E-01,.69315604
-14935.038,-.34949138E-01,-.14215125E-01,.69308618
-14936.092,-.34491270E-01,-.73428751E-02,.69306384
-14936.598,-.24336690E-01,-.14047237E-01,.69343994
-14937.194,-.41382147E-01,-.28055625E-01,.69337456
-14935.503,.27147903E-02,-.32347955E-02,.69313483
-14935.469,-.39487694E-01,-.14702696E-01,.69307938
-14937.642,.90704617E-02,.14047898E-01,.69319125
-14934.181,-.23349101E-01,-.18469511E-01,.69299879
-14938.087,.21070098E-01,.83292253E-02,.69331227
-14935.706,-.24771142E-01,-.15391423E-01,.69328946
-14936.378,-.32996149E-01,-.73215988E-02,.69315142
-14934.699,-.15518088E-01,-.17162650E-01,.69302270
-14935.083,-.22339296E-01,-.20132218E-01,.69309977
-14935.018,-.39413041E-01,-.19608642E-01,.69308295
-14934.973,-.24934051E-01,-.15137175E-01,.69317000
-14936.991,-.44283551E-01,-.16800809E-01,.69327251
-14936.266,-.54647673E-01,-.26476729E-01,.69306674
-14935.717,-.16416344E-01,-.25145781E-02,.69319614
-14936.076,-.48204518E-01,-.22196748E-01,.69313193
-14935.837,-.26132537E-01,-.94378609E-02,.69325791
-14935.070,-.21432225E-01,-.11188937E-01,.69319005
-14934.830,-.93136452E-02,-.10543221E-01,.69309828
-14936.664,-.34115453E-01,-.11114030E-01,.69330072
-14935.936,-.41628911E-01,-.28411157E-01,.69315660
-14934.506,-.24861543E-01,-.16056266E-01,.69308854
-14934.567,-.20180039E-01,-.99905017E-02,.69310500
-14935.764,-.44187966E-01,-.21536095E-01,.69314998
-14934.719,-.38177697E-01,-.25679680E-01,.69300878
-14935.016,-.81486873E-02,-.72967779E-02,.69314933
-14934.668,-.10391908E-01,-.93639976E-02,.69309710
-14934.657,-.27899720E-01,-.21844503E-01,.69304119
-14933.973,-.17062787E-01,-.10052194E-01,.69301273
-14935.603,-.13269130E-01,-.76039080E-02,.69326883
-14935.928,-.12771604E-01,-.16767701E-01,.69318608
-14938.792,-.57111263E-01,-.23742381E-01,.69338137
-14937.249,-.13280306E-01,-.67321013E-02,.69353236
-14934.743,-.32067647E-01,-.19633701E-01,.69309676
-14936.434,-.10378174E-01,-.91571064E-02,.69338470
-14934.489,-.16762786E-01,-.13335320E-01,.69307803
-14938.262,-.71945146E-02,.19344276E-02,.69357704
-14935.553,-.18920784E-02,.12743072E-02,.69316937
-14936.201,-.56975398E-02,-.17518824E-01,.69302854
-14935.537,-.51706257E-01,-.29873244E-01,.69299982
-14935.699,.14460305E-01,.74212474E-02,.69303151
-14936.252,-.24413893E-01,-.23781105E-01,.69320683
-14934.134,-.31677696E-01,-.18063672E-01,.69300419
-14935.456,-.34923525E-01,-.23823578E-01,.69316302
-14935.544,-.26367926E-01,-.18742531E-01,.69323518
-14936.661,-.12703116E-01,-.79438805E-02,.69343977
-14936.512,-.14633645E-01,-.41090768E-02,.69337739
-14934.696,-.36356823E-01,-.19622924E-01,.69306380
-14937.004,-.10160096E-01,-.23347420E-02,.69344852
-14936.571,-.92754667E-02,-.17113166E-01,.69320231
-14936.402,-.68783964E-02,-.18920533E-01,.69302888
-14936.656,-.66934472E-02,.61752539E-02,.69318149
-14934.722,-.21113313E-01,-.20525820E-01,.69301356
-14935.931,-.13537488E-01,.31497448E-02,.69307899
-14935.851,-.24375262E-01,-.20789156E-01,.69323159
-14935.640,-.24260295E-01,-.14457105E-01,.69328211
