SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14935.778,-.18052981E-01,.23354227E-02,.69299851
-14934.068,-.13502880E-01,-.90851642E-02,.69302060
-14934.068,-.13502880E-01,-.90851642E-02,.69302060
-14935.265,-.21499787E-01,-.29664015E-02,.69306048
-14933.959,-.13038356E-01,-.95972611E-02,.69299914
-14933.959,-.13038356E-01,-.95972611E-02,.69299914
-14934.700,-.34972087E-02,-.53499703E-02,.69306719
-14937.448,.26056899E-01,.18878739E-01,.69301915
-14937.448,.26056899E-01,.18878739E-01,.69301915
-14938.616,.16690296E-02,.15988538E-02,.69364589
-14934.972,-.40150611E-01,-.27143992E-01,.69302232
-14935.045,-.18355836E-02,-.67194244E-02,.69308682
-14935.045,-.18355836E-02,-.67194244E-02,.69308682
-14934.671,-.45634003E-02,-.28597433E-02,.69307320
-14936.029,.65033405E-02,-.18760579E-02,.69317288
-14935.412,-.29562581E-01,-.12664420E-01,.69320013
-14935.151,.84827597E-03,.25022535E-02,.69308342
-14934.914,-.10916799E-01,-.13249752E-01,.69308398
-14935.212,-.52084357E-02,-.13002741E-01,.69303296
-14936.566,-.12882256E-01,-.72551892E-05,.69330441
-14935.839,-.28468672E-01,-.38678602E-02,.69303672
-14934.696,-.37208676E-01,-.25034894E-01,.69301665
-14935.046,-.27980407E-01,-.16380446E-01,.69317296
-14935.046,-.37389702E-01,-.18367350E-01,.69310530
-14934.803,-.30067939E-01,-.18467229E-01,.69311912
-14936.055,-.19613144E-01,-.13036744E-01,.69335058
-14934.635,-.27858331E-01,-.19447829E-01,.69308073
-14935.480,-.49749139E-01,-.26518331E-01,.69303215
-14934.853,-.22865222E-01,-.75353258E-02,.69309793
-14937.748,.10120225E-01,.40557733E-02,.69342108
-14942.177,-.17070995E-01,.12222469E-01,.69344611
-14935.861,-.21337312E-01,.52463647E-03,.69302034
-14934.596,-.97979925E-02,-.11383057E-01,.69305315
-14935.572,-.33451849E-01,-.21732220E-01,.69321221
-14937.096,-.14978915E-01,-.73050293E-02,.69351091
-14935.809,-.44665161E-01,-.27850299E-01,.69313530
-14936.056,-.52692059E-01,-.30864681E-01,.69306574
-14935.656,-.50373327E-01,-.24828396E-01,.69304337
-14935.656,-.50373327E-01,-.24828396E-01,.69304337
-14935.521,-.27029646E-01,-.73424729E-02,.69314169
-14936.480,-.21455837E-01,-.25576439E-01,.69311096
-14934.572,-.15630700E-01,-.96445332E-02,.69310815
-14934.630,-.20751905E-01,-.17825851E-01,.69306259
-14937.373,-.60821350E-01,-.26714414E-01,.69308393
-14935.985,-.49605117E-01,-.20237528E-01,.69304622
-14935.533,-.20486273E-02,-.70574145E-02,.69316334
-14937.340,-.36970574E-01,-.36079594E-01,.69303652
-14941.717,-.12835185E-02,.21846347E-01,.69313910
-14935.817,.35835474E-02,.28591956E-02,.69317586
-14937.185,.96265340E-02,.93126933E-02,.69326839
-14935.576,-.50056272E-02,-.11262456E-02,.69320687
-14934.362,-.12902807E-01,-.65608238E-02,.69306218
-14934.605,-.14475472E-01,-.84454170E-02,.69311055
-14934.888,-.23855929E-01,-.23111506E-01,.69299794
-14937.321,-.40053218E-01,-.88536469E-02,.69316345
-14936.617,-.32082433E-01,-.30210576E-01,.69313054
-14935.078,-.30517689E-01,-.23106018E-01,.69309948
-14934.899,.21116319E-02,-.19247525E-02,.69305573
-14935.197,-.41223677E-01,-.29588562E-01,.69300429
-14935.038,-.18651160E-01,-.79117141E-02,.69316973
-14935.519,-.48812010E-01,-.28225471E-01,.69304577
-14935.334,-.40466877E-01,-.28315377E-01,.69305779
-14935.539,-.16901459E-01,-.22230728E-01,.69300503
-14934.329,-.26916756E-01,-.13658021E-01,.69305511
-14935.768,-.25439541E-01,-.16318976E-01,.69329477
-14935.042,-.21774057E-01,-.73070557E-02,.69313662
-14936.074,-.13719680E-01,-.20103270E-01,.69310811
-14935.317,-.41669350E-02,-.32777767E-02,.69317658
-14934.810,-.24782520E-01,-.17594657E-01,.69312344
-14934.692,-.36576135E-01,-.18028616E-01,.69305391
-14936.532,-.11643293E-01,-.34594613E-02,.69338436
-14934.311,-.27288222E-01,-.11026968E-01,.69302041
-14934.601,-.26776790E-01,-.12578595E-01,.69309291
-14934.780,-.13359376E-01,-.91854626E-02,.69313540
-14935.581,-.21120136E-01,-.13013457E-01,.69327602
-14937.651,-.24995379E-01,-.12973388E-01,.69360891
-14935.979,.18434396E-02,.74496766E-02,.69311005
-14938.369,-.54016864E-02,.12796312E-01,.69314579
-14934.506,-.21456363E-01,-.11592954E-01,.69309916
-14938.007,-.13598900E-01,-.26332590E-01,.69308539
-14940.989,-.19798250E-01,.11434109E-01,.69320808
-14935.822,.60226408E-02,-.91006747E-03,.69315706
-14936.887,-.55408094E-01,-.37828336E-01,.69304070
-14936.517,-.56672935E-01,-.30955078E-01,.69308110
-14938.204,-.56839658E-01,-.36358610E-01,.69329544
-14939.405,-.50721121E-01,-.44373697E-01,.69312628
-14934.778,-.18953127E-01,-.17726335E-01,.69306918
-14935.675,-.34390321E-01,-.15397439E-01,.69321908
-14935.406,-.39695534E-02,-.93830076E-02,.69313301
-14941.126,-.16083177E-01,-.13889932E-01,.69414603
-14940.230,.16650760E-01,-.66746642E-02,.69340916
-14934.334,-.16861938E-02,-.39775134E-02,.69299744
-14934.841,-.35782229E-02,-.15608844E-02,.69308917
-14934.841,-.35782229E-02,-.15608844E-02,.69308917
-14935.290,-.26062983E-01,-.19434607E-01,.69318130
-14937.131,-.50806224E-01,-.30061639E-01,.69327852
-14935.267,.56079966E-02,.86765416E-03,.69308125
-14935.320,-.18196470E-01,-.50712034E-02,.69317324
-14937.484,.18135627E-01,.16281742E-01,.69312012
-14936.971,.43380568E-02,.59961084E-02,.69331065
-14934.366,-.96339368E-02,-.50147229E-02,.69305081
-14933.902,-.20850640E-01,-.13740029E-01,.69299779
-14934.416,-.29846818E-01,-.20798112E-01,.69303049
-14934.840,-.24246833E-01,-.14357134E-01,.69315084
-14934.676,-.32029923E-01,-.22601467E-01,.69304959
-14939.724,.22132253E-01,.14837748E-01,.69349566
-14936.933,-.15507728E-01,-.44843617E-03,.69334487
-14935.553,-.25129428E-01,-.12522132E-01,.69326048
-14935.612,-.39870985E-01,-.23655250E-01,.69317683
-14934.866,-.82447441E-02,.29241642E-03,.69306064
-14935.661,-.25800679E-01,-.22949231E-01,.69315686
-14937.151,.32180826E-02,.31789411E-02,.69338723
-14936.096,-.72333488E-02,.50079104E-02,.69312891
-14935.762,-.51739725E-03,-.53764038E-02,.69320013
-14935.841,-.32686631E-01,-.15008369E-01,.69326380
-14935.015,-.16301099E-03,-.39026197E-02,.69308985
-14936.163,-.15805922E-01,-.11193713E-01,.69336335
-14935.417,-.38772669E-01,-.20988704E-01,.69316210
-14937.140,-.71243804E-02,-.13203674E-01,.69337790
-14937.326,.14730476E-01,.17434289E-01,.69304110
-14936.400,.57335722E-02,-.90558174E-02,.69307601
-14935.854,-.67928124E-04,-.96272572E-02,.69312101
-14935.548,-.16169340E-01,-.18707292E-01,.69312547
-14938.350,-.98697192E-02,-.14426495E-01,.69359255
-14936.606,-.19915285E-01,-.19272989E-01,.69334055
-14936.715,-.35267831E-03,-.79421398E-02,.69330673
-14934.752,-.31210675E-01,-.12996065E-01,.69307479
-14936.556,-.23795522E-01,-.18553905E-01,.69339003
-14937.866,-.40340559E-01,-.26772999E-01,.69351242
-14936.393,-.40628012E-01,-.26674658E-01,.69326754
-14935.497,-.41503025E-01,-.30104447E-01,.69304115
-14934.206,-.30846697E-01,-.15509699E-01,.69301620
-14934.526,-.16189783E-01,-.11689110E-01,.69309564
-14936.297,.23171455E-02,-.83992344E-03,.69327970
-14936.172,.11389684E-01,.30140319E-02,.69315433
-14935.651,-.21827836E-01,-.13500338E-01,.69328656
-14937.499,.58226710E-02,.13804658E-01,.69314850
-14936.410,-.57625060E-01,-.28633531E-01,.69303752
-14935.060,-.45318609E-01,-.26374528E-01,.69301982
-14936.601,-.47446534E-01,-.18734157E-01,.69317278
-14934.880,-.67997178E-02,.18539015E-02,.69303498
-14934.880,-.67997178E-02,.18539015E-02,.69303498
-14936.881,-.19263170E-01,-.73722587E-03,.69328540
-14937.165,-.18375794E-01,-.21392740E-02,.69339582
-14938.450,-.12866926E-01,.67763139E-03,.69359029
-14937.817,-.61798461E-01,-.26776430E-01,.69312844
-14936.151,-.43825475E-01,-.33081392E-01,.69306612
-14938.759,-.50030618E-01,-.35873308E-01,.69342813
-14939.324,-.60328908E-01,-.26273000E-01,.69342485
-14937.119,-.47508462E-01,-.36447176E-01,.69312158
-14936.479,-.55187855E-01,-.23385534E-01,.69303956
-14935.791,-.34053411E-01,-.18674957E-01,.69326374
-14935.893,-.24432775E-01,-.16239865E-01,.69331442
-14936.068,-.34900238E-01,-.23203172E-01,.69327445
-14936.645,-.43713593E-01,-.15069156E-01,.69318008
-14934.637,-.89924489E-02,-.29466778E-02,.69307629
-14938.266,-.36526731E-01,-.35407380E-01,.69322001
-14935.968,-.13779960E-01,-.15739129E-01,.69323955
-14936.293,-.28720967E-01,-.92614474E-02,.69329149
-14936.600,.94983055E-02,.17904480E-02,.69324539
-14935.489,.81938379E-02,.37832326E-02,.69308330
-14936.375,-.25856891E-01,-.58628742E-02,.69325923
-14936.069,-.55465178E-02,-.13050715E-01,.69317666
-14935.587,.12238861E-01,.46585203E-02,.69305138
-14934.814,-.20061510E-01,-.11449434E-01,.69315145
-14935.458,-.36904267E-02,-.11680300E-01,.69307919
-14934.698,-.19643902E-01,-.11770700E-01,.69313261
-14934.698,-.19643902E-01,-.11770700E-01,.69313261
-14934.559,-.58507815E-02,-.75840619E-02,.69305121
-14934.716,-.69191449E-03,.14112325E-02,.69303135
-14934.696,.35638567E-02,-.13322297E-02,.69300852
-14935.150,-.11131936E-02,-.73513227E-02,.69308172
-14935.013,-.41937804E-02,-.45413227E-04,.69310201
-14936.253,-.23436275E-01,.11470444E-02,.69299931
-14934.113,-.27119496E-01,-.13107455E-01,.69301436
-14934.962,-.34837428E-02,-.17636438E-02,.69310966
-14935.880,-.18699286E-01,-.16335816E-01,.69327578
-14934.881,-.89083858E-02,-.10835421E-01,.69309678
-14935.374,.67213147E-02,.53854547E-03,.69308425
-14934.886,-.19575192E-01,-.10387410E-01,.69316096
