ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.32435010,.13265488,1,2,-14936.115,-.67195383E-02,-.60114448E-03,.69328572
1,0,.32559899,.0000000,1,1,-14935.194,.19267578E-03,-.23584550E-02,.69312213
1,0,.32566136,.0000000,1,3,-14934.961,.36020166E-02,-.26685781E-02,.69304080
1,0,.32689868,.0000000,1,1,-14934.822,.22646932E-02,-.28477011E-02,.69303590
1,0,.32500536,.0000000,1,4,-14936.138,.74771911E-02,-.55121053E-02,.69309935
1,0,.32418942,.10454949,1,5,-14936.170,.35361671E-02,-.43805682E-02,.69321308
1,0,.32540710,.0000000,1,1,-14935.418,.41629198E-02,-.46590585E-02,.69307680
1,0,.32391295,.0000000,1,7,-14935.433,.75174912E-03,-.29340311E-02,.69315205
1,0,.32260277,.10086925,1,5,-14936.865,-.13217317E-02,-.18838777E-02,.69340342
1,0,.32174664,.0000000,1,3,-14938.374,.59433977E-02,-.44942532E-02,.69351462
1,0,.32187168,.0000000,1,4,-14936.296,.56732033E-02,-.54283683E-02,.69316934
1,0,.32305103,.0000000,1,1,-14935.741,.58793382E-02,-.51403321E-02,.69308300
1,0,.32291860,.10128202,1,2,-14936.303,.18644649E-02,-.39874675E-02,.69326744
1,0,.32409002,.0000000,1,1,-14935.599,-.44858756E-02,-.86629947E-04,.69319703
1,0,.32377425,.0000000,1,4,-14934.738,-.65467999E-02,.17244672E-02,.69301689
1,0,.30983241,.28106735,1,37,-14934.938,.13238783E-02,-.33788550E-02,.69306271
1,0,.30506064,.88518203E-01,1,14,-14934.973,.26149859E-02,-.14817256E-02,.69306343
1,0,.30552876,.0000000,1,2,-14935.070,.40209806E-03,.72233192E-03,.69309170
1,0,.30519600,.74941966E-01,1,1,-14937.436,-.61513829E-02,.23569792E-02,.69343935
1,0,.30120134,.83403004E-01,1,12,-14935.756,.54025191E-03,-.33779122E-02,.69320354
1,0,.30226342,.0000000,1,1,-14935.765,.10601523E-02,-.64837436E-02,.69315739
1,0,.30247988,.0000000,1,1,-14936.579,-.15272230E-01,-.71026925E-03,.69329869
1,0,.30197446,.0000000,1,2,-14937.869,-.10113633E-01,-.39895599E-02,.69361050
1,0,.30258004,.0000000,1,2,-14936.846,.33513890E-03,-.65427756E-02,.69334246
1,0,.30145563,.0000000,1,5,-14937.499,.27594050E-02,-.93976570E-02,.69332154
1,0,.29643023,.11460800,1,15,-14938.154,.25434526E-02,-.86034204E-02,.69345606
1,0,.29434596,.0000000,1,5,-14941.631,.49463815E-02,-.10502503E-01,.69387636
1,0,.29408627,.0000000,1,4,-14939.768,.18193784E-01,-.10744086E-01,.69304142
1,0,.29169829,.42999507E-01,1,10,-14937.585,.87159206E-02,-.84063084E-02,.69319785
1,0,.28766129,.0000000,1,15,-14935.944,.52413493E-02,-.55765123E-02,.69311966
1,0,.28564786,.0000000,1,10,-14934.982,.14623144E-02,-.73772817E-02,.69300582
1,0,.28500266,.35366431E-01,1,2,-14937.219,-.85311735E-02,-.60651936E-02,.69351132
1,0,.28154940,.0000000,1,13,-14935.407,-.17631425E-01,-.60603497E-02,.69321058
1,0,.28052392,.0000000,1,3,-14937.911,-.17417379E-01,-.89051702E-03,.69349117
1,0,.27980544,.0000000,1,6,-14936.527,-.86833612E-02,-.14290984E-01,.69327871
1,0,.27815327,.20045528,1,9,-14936.330,-.25829981E-01,-.66099961E-02,.69327503
1,0,.27756678,.0000000,1,4,-14936.732,-.13080207E-01,-.12524807E-01,.69342009
1,0,.27389703,.0000000,1,14,-14934.805,-.10188226E-01,-.11667529E-01,.69308716
1,0,.27364694,.0000000,1,3,-14935.399,-.14810307E-01,-.85445722E-02,.69324031
1,0,.26226389,.17798266,1,41,-14934.135,-.10019717E-01,-.77439622E-02,.69301798
1,0,.26246227,.0000000,1,1,-14934.994,-.83150117E-02,-.74841865E-02,.69314599
1,0,.26182776,.0000000,1,6,-14935.456,-.76763779E-02,-.61915168E-02,.69322098
1,0,.26119186,.0000000,1,3,-14936.899,-.97795790E-02,-.13402939E-01,.69338324
1,0,.25990058,.87143425E-01,1,8,-14934.568,-.14035097E-01,-.11170122E-01,.69309363
1,0,.25983102,.0000000,1,2,-14935.457,-.14097328E-01,-.15622685E-01,.69316433
1,0,.25960764,.0000000,1,1,-14938.067,-.19088587E-01,-.14928301E-01,.69365901
1,0,.25894541,.70738238E-01,1,6,-14935.169,-.19028231E-01,-.18707932E-01,.69310903
1,0,.25706889,.0000000,1,11,-14935.384,-.26278665E-01,-.16464970E-01,.69323093
1,0,.25440082,.0000000,1,15,-14934.975,-.34716281E-01,-.12275255E-01,.69303811
1,0,.25393292,.0000000,1,2,-14939.305,-.33177383E-01,-.14520940E-01,.69382659
1,0,.25089220,.17828033,1,17,-14934.747,-.23572684E-01,-.72070320E-02,.69306450
1,0,.24933277,.0000000,1,9,-14934.929,-.17761470E-01,-.46584663E-02,.69310491
1,0,.24786616,.0000000,1,11,-14934.497,-.26383188E-01,-.12389755E-01,.69307706
1,0,.24733715,.0000000,1,6,-14934.867,-.27471336E-01,-.22071282E-01,.69306722
1,0,.24635451,.92499495E-01,1,12,-14934.779,-.41140891E-01,-.24640064E-01,.69302134
1,0,.24632929,.0000000,1,4,-14934.879,-.42709287E-01,-.21151772E-01,.69302259
1,0,.24628165,.0000000,1,4,-14935.095,-.37456231E-01,-.16916084E-01,.69309749
1,0,.24449073,.12408064,1,14,-14934.861,-.36163712E-01,-.14770822E-01,.69304608
1,0,.24418962,.0000000,1,3,-14936.140,-.50463652E-01,-.26133570E-01,.69313065
1,0,.24110424,.0000000,1,14,-14937.266,-.43415479E-01,-.22738400E-01,.69342038
1,0,.24092570,.0000000,1,6,-14935.021,-.41455038E-01,-.19825584E-01,.69305507
1,0,.24078051,.0000000,1,2,-14937.072,-.32778776E-01,-.13748962E-01,.69344964
1,0,.24053793,.11473947,1,3,-14937.964,-.30233238E-01,-.59913730E-02,.69343202
1,0,.24038758,.0000000,1,6,-14935.604,-.12334617E-01,-.94400890E-02,.69326273
1,0,.23923598,.0000000,1,9,-14934.882,.87414717E-04,-.64055233E-02,.69303487
1,0,.23774809,.10703397E-01,1,11,-14934.524,-.28481441E-01,-.10285185E-01,.69302619
1,0,.23647661,.0000000,1,10,-14934.669,.54824984E-03,-.33555633E-02,.69302966
1,0,.23609685,.0000000,1,6,-14935.197,-.14314585E-01,-.22276236E-02,.69312621
1,0,.23564899,.11287155E-01,1,5,-14935.635,-.30376059E-01,-.94061258E-02,.69315707
1,0,.23322265,.0000000,1,18,-14934.811,-.23834220E-01,-.69994633E-02,.69306653
1,0,.23329131,.0000000,1,2,-14935.431,-.11024839E-01,-.39846448E-02,.69321428
1,0,.23328603,.0000000,1,5,-14935.551,.17882649E-03,-.47699973E-02,.69316327
1,0,.23359625,.0000000,1,1,-14936.135,.66196273E-02,.77605411E-02,.69313872
1,0,.23384997,.0000000,1,3,-14936.169,-.28604316E-02,-.26424665E-02,.69330394
1,0,.23376004,.0000000,1,2,-14937.154,-.11201579E-01,-.23805952E-02,.69346952
1,0,.23150900,.14094880E-01,1,17,-14934.567,.13530466E-02,.10917363E-02,.69300346
1,0,.23059378,.0000000,1,9,-14935.535,-.34850798E-02,-.30576996E-02,.69320691
1,0,.23130751,.0000000,1,1,-14934.498,-.98096001E-02,-.74766772E-03,.69301424
1,0,.23119160,.0000000,1,1,-14936.740,-.20271225E-01,-.16699065E-01,.69342458
1,0,.22851730,.87365245E-02,1,23,-14936.687,-.55058948E-02,-.18448627E-01,.69305562
1,0,.22840573,.0000000,1,5,-14936.163,-.19175750E-01,-.19527509E-01,.69325006
1,0,.22737533,.0000000,1,12,-14936.313,-.34970314E-01,-.15977460E-01,.69332453
1,0,.22742045,.0000000,1,2,-14936.996,-.13182365E-01,-.29873446E-02,.69344432
1,0,.22789483,.0000000,1,1,-14937.271,-.21430564E-01,-.97693017E-02,.69354052
1,0,.22858237,.0000000,1,1,-14935.803,-.21274345E-02,.42930453E-02,.69314896
1,0,.22886146,.0000000,1,3,-14935.747,-.21583064E-01,.91229608E-05,.69301950
1,0,.22602305,.35733398E-01,1,23,-14935.624,-.72917914E-02,-.10724895E-01,.69319552
1,0,.22633182,.0000000,1,3,-14934.453,.45498858E-03,-.19407488E-02,.69300171
1,0,.22532077,.0000000,1,10,-14934.582,-.93587929E-02,-.54343557E-03,.69302626
1,0,.22463201,.12154756E-01,1,8,-14934.627,-.22676694E-01,-.69229365E-02,.69305001
1,0,.22288297,.0000000,1,12,-14935.140,-.19819734E-01,-.10168454E-01,.69320100
1,0,.22305534,.0000000,1,1,-14935.992,-.22346321E-01,-.77312682E-02,.69329451
1,0,.22291990,.80554860E-02,1,8,-14935.375,-.17053117E-01,-.10673190E-01,.69324109
1,0,.22287937,.0000000,1,6,-14934.887,-.94121502E-02,-.52551290E-02,.69313588
1,0,.22278691,.0000000,1,5,-14934.696,-.71491887E-02,-.41939005E-02,.69309360
1,0,.22268925,.0000000,1,3,-14937.841,-.17356965E-01,-.38039242E-02,.69356525
1,0,.22320399,.0000000,1,3,-14937.729,-.30170814E-02,.91104427E-02,.69328276
1,0,.22367350,.0000000,1,3,-14935.204,.86708838E-02,.29628702E-02,.69303591
1,0,.22304605,.69044378E-02,1,13,-14935.355,-.29455582E-02,.55332214E-03,.69314839
1,0,.22316857,.0000000,1,3,-14935.618,-.74966173E-02,-.37544795E-02,.69324123
1,0,.22338831,.0000000,1,1,-14936.325,-.15659793E-01,-.44434710E-02,.69334615
1,0,.22254268,.0000000,1,7,-14937.744,-.22567133E-01,-.11507708E-01,.69362645
1,0,.22279080,.83987043E-02,1,1,-14938.381,-.17277688E-01,-.16033600E-01,.69367385
1,0,.22324633,.0000000,1,1,-14938.621,-.27045726E-01,-.16218838E-01,.69376486
1,0,.22323855,.0000000,1,5,-14938.694,-.18213483E-01,-.14542197E-01,.69375982
1,0,.22314055,.0000000,1,6,-14937.957,-.27751065E-01,-.22070304E-01,.69357864
1,0,.22349486,.0000000,1,4,-14935.731,-.29786429E-01,-.23306333E-01,.69319793
1,0,.22124236,.20777036E-01,1,21,-14934.599,-.91781861E-02,-.34148884E-02,.69307535
1,0,.21840514,.0000000,1,24,-14934.745,-.20856202E-01,-.56755572E-02,.69306352
1,0,.21860457,.0000000,1,1,-14935.485,-.32174184E-01,-.10538152E-01,.69312834
1,0,.21852751,.0000000,1,1,-14937.618,-.31062811E-01,-.14163834E-01,.69356723
1,0,.21912864,.0000000,1,1,-14937.282,-.34403196E-01,-.14767047E-01,.69347714
1,0,.21936967,.0000000,1,2,-14937.722,-.39829170E-01,-.21429069E-01,.69353678
1,0,.21996877,.0000000,1,1,-14935.686,-.38782132E-01,-.23561044E-01,.69319641
1,0,.21862731,.15262456E-01,1,15,-14934.386,-.22858037E-01,-.11938605E-01,.69307648
1,0,.21865720,.0000000,1,2,-14935.129,-.14199066E-01,-.55521693E-02,.69317576
1,0,.21865997,.0000000,1,4,-14935.270,-.11951358E-01,-.50722414E-02,.69319848
1,0,.21792498,.10735826E-01,1,12,-14935.258,-.33550049E-01,-.14596160E-01,.69315055
