ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.95832535E-01,.0000000,7,7,-2.8018692,.75026019,2.3260037,-.82832253
1,0,.95917984E-01,.10188060E-01,7,2,-3.9266398,.63850552,2.1102435,-.51809611
1,0,.96319552E-01,.0000000,7,7,-2.6170698,1.3992926,1.7957953,-.92730792
1,0,.96801793E-01,.0000000,7,11,-1.6458090,1.2626463,1.9005218,-1.1382859
1,0,.96903641E-01,.0000000,7,9,-1.4754233,.85235508,2.0979801,-1.0630097
1,0,.96748266E-01,.0000000,7,7,-3.3393231,1.1129183,1.8217627,-.62365243
1,0,.96394588E-01,.61067436E-02,7,24,-3.4078018,1.5246771,1.7835670,-.99363078
1,0,.96384292E-01,.0000000,7,3,-4.7379619,.80246073,2.0180212,-.24771486
1,0,.96389400E-01,.0000000,7,8,-5.2521192,.73978705,2.4977499,-.83353542
1,0,.96572464E-01,.78126580E-02,7,7,-3.3633753,.89608692,1.9416824,-1.2215923
1,0,.97076327E-01,.0000000,7,1,-2.9199604,1.0126837,2.1566400,-1.5545523
1,0,.95950158E-01,.0000000,7,33,-2.7488599,.90767263,2.0519573,-1.6229341
1,0,.95431450E-01,.16112629E-01,7,28,-1.5062766,1.1687598,1.9062113,-1.0886786
1,0,.95542505E-01,.0000000,7,1,-2.7054645,1.2205137,2.0936553,-1.0769550
1,0,.95620153E-01,.0000000,7,30,-2.7325571,.97562899,1.9819678,-.63726812
1,0,.95903521E-01,.0000000,7,3,-2.9393397,1.0014777,2.1829819,-.61884595
1,0,.95804499E-01,.0000000,7,7,-4.5294169,1.3035879,2.1692183,-.69248951
1,0,.95950511E-01,.10954560E-01,7,1,-5.5165542,1.2536025,2.1878466,-1.0941765
1,0,.96392298E-01,.0000000,7,4,-5.4335045,.45846137,2.0845340,-.59863877
1,0,.96759363E-01,.0000000,7,4,-2.7533658,1.3360126,1.9612169,-.75122718
1,0,.97088480E-01,.0000000,7,2,-2.9545656,1.1477853,1.9257313,-.56827182
1,0,.97339140E-01,.0000000,7,1,-3.5077820,1.5035858,1.8798972,-.94683501
1,0,.97689918E-01,.20652976E-02,7,2,-3.6536028,1.1691175,2.0631284,-.43446441
1,0,.98111058E-01,.0000000,7,2,-2.3743007,1.3039858,1.9115904,-.78606650
1,0,.98426446E-01,.0000000,7,6,-2.5767324,1.0506383,2.1120131,-.66003166
1,0,.98643956E-01,.20598690E-02,7,6,-2.6062497,.81463978,2.0187604,-1.0692091
1,0,.98977155E-01,.0000000,7,6,-2.4669402,1.0279174,2.2038339,-.91880433
1,0,.99193739E-01,.0000000,7,6,-2.1478962,.72840281,2.1447757,-1.0684904
1,0,.99298954E-01,.0000000,7,1,-3.3422811,1.2057185,2.1460842,-.73814396
1,0,.99390567E-01,.41061388E-02,7,11,-3.3633897,1.0080379,1.9928811,-.46948020
1,0,.98487604E-01,.0000000,7,39,-1.0223165,1.0927704,2.0457094,-1.2360785
1,0,.96320685E-01,.0000000,7,59,-1.2888683,1.0669373,2.0982913,-1.2115137
1,0,.94845217E-01,.19345067E-01,7,55,-1.1990054,1.0903051,2.0727115,-1.2328770
1,0,.94970119E-01,.0000000,7,2,-1.9925602,1.2287515,1.9159394,-1.4411514
1,0,.94755758E-01,.0000000,7,6,-4.1315886,1.4551377,1.7179856,-1.2201583
1,0,.94715245E-01,.0000000,7,2,-6.3946794,1.7972316,1.6032258,-.14908586E-01
1,0,.94920788E-01,.76527809E-02,7,2,-6.8889852,1.8956961,1.3687214,-.66383431
