SampleLogFunc,intercept,slope,logSigma
-2.8926845,1.1385356,2.0947419,-.62487769
-1.7650990,.86135928,2.2141213,-1.2810117
-3.4016279,.54770752,2.3536569,-.69714974
-3.3371798,1.0315295,2.0412227,-.46074689
-1.1946585,1.1440692,2.0125563,-1.3296725
-5.0252473,1.3182803,2.1850347,-.76269351
-4.0634621,.83647357,2.0454208,-1.5746355
-3.1387711,1.2339936,1.8336902,-.58658277
-1.5822311,1.1293672,1.9068421,-1.2345770
-3.7481193,1.2301910,2.1496773,-.62815840
-5.3548026,.51233369,2.2148468,-.16952988
-1.2779629,1.1497635,1.9643110,-1.0584931
-4.7096058,1.2768674,2.0213369,-.23671919
-2.0473487,.88316176,2.0344971,-.87012694
-5.4161662,1.8595446,1.6491106,-.54707909
-2.1563522,1.0194751,1.9705621,-.77661580
-3.0268548,1.3559286,1.9926667,-.77204129
-2.0913491,.77661879,2.1597264,-.85164969
-2.3475582,.94295686,2.0858405,-1.6752698
-3.0355538,.57625213,2.2628861,-1.0376637
-2.5725577,.78800953,2.2937516,-.83375130
-7.7020630,.56598236,2.6295102,.24082874
-4.0662715,1.3546485,2.0242772,-1.2209774
-1.4788227,1.1714593,1.9070353,-1.1112343
-1.3772655,.93149242,2.0878603,-1.4890694
-1.2723259,.88067324,2.1668558,-1.2018467
-1.2723259,.88067324,2.1668558,-1.2018467
-2.4071856,1.3313616,1.8138551,-.89315545
-1.8852406,1.2753006,1.8766488,-1.2504527
-1.8129369,.88000977,2.0745590,-.88531763
-1.1385826,1.0202452,2.1092387,-1.2726392
-1.1385826,1.0202452,2.1092387,-1.2726392
-2.3822740,1.0168562,2.2074880,-1.0483106
-2.7915886,1.1372059,2.1627908,-.97952268
-4.1105841,.53865735,2.2840063,-.43855174
-2.4167952,1.3493039,1.8670526,-1.2602691
-5.5101055,1.1929077,1.9513852,-.49965334E-01
-6.3519418,1.5002827,2.1089212,-.80217231
-3.1749558,1.4810258,1.8250610,-.74977117
-2.0944636,1.3417358,1.8821375,-1.0807685
-3.0277516,1.1488702,2.0904907,-1.4894072
-2.8078549,1.1147639,2.1509242,-.73127109
-1.6434610,1.0293415,1.9425812,-1.1939755
-2.1093545,.94248537,1.9852902,-1.3534509
-2.5775962,.80348361,2.2776445,-1.2706613
-4.4299801,.88037280,2.4001947,-.82526180
-5.1245578,1.3215736,1.9904436,-.15684772
-2.1323261,1.1070589,1.8704168,-1.0530858
-1.3298096,1.0997766,2.0460628,-1.4410171
-1.4351605,.92817909,2.1267658,-.96611361
-3.6463395,1.4034284,2.0106243,-.93329803
-2.6666722,1.1848172,2.1212860,-1.0159842
-1.1754083,.95051602,2.1168946,-1.0714369
-2.0762567,1.2764088,1.9385117,-1.3513934
-1.7021581,.92220334,2.0561287,-.89398750
-4.1410929,1.1492255,2.0274625,-1.7764975
-3.6421523,1.2705180,1.9137368,-.43309807
-1.8183134,1.1457797,2.0184714,-.85476721
-3.5641762,1.1776202,2.0509993,-.45134396
-7.5747599,-.18672288,2.6160830,-.41664997
-6.2002034,.15480595,2.5998335,-.14373080
-4.9534140,1.3885454,1.8332116,-1.5510097
-1.5867467,1.1457552,2.0536011,-1.3337232
-1.8772732,1.2687004,1.9013243,-1.3157333
-2.4348246,1.3923459,1.8595905,-1.0571235
-1.2263838,.92739335,2.1203963,-1.0520504
-1.5868822,.80880332,2.1719009,-1.3007187
-1.5868822,.80880332,2.1719009,-1.3007187
-2.6300809,1.2141689,1.8469498,-.72131406
-2.5728479,1.4152373,1.8419573,-.98839608
-1.4833348,.93827012,2.0258307,-1.0228782
-6.0501753,1.2980133,2.1779051,-.64042884E-01
-5.4113506,.46342059,2.4898664,-.19700999
-2.5994579,1.3604571,1.7910071,-.87737639
-5.1872593,.90414299,2.1643599,-.10989602
-4.7751014,.95807684,2.3287330,-.32035559
-2.1208708,1.2634516,1.8300813,-1.1137314
-3.7248114,.70068142,2.0233603,-.83144610
-1.8746522,1.2269863,1.8753203,-1.2953319
-3.0095957,1.3027242,1.7823395,-1.2368328
-1.4935511,.81393121,2.1590940,-1.0880365
-5.4542863,.62371258,2.3907311,-.12152119
-5.2321071,1.3306854,1.8396933,-.12326625
-1.8491721,1.2171947,1.8613182,-1.0624810
-3.7400708,1.5484462,1.8276917,-.64978835
-2.3725801,1.2927890,1.8269985,-1.2468992
-3.0368402,.70661333,2.0761819,-.97483242
-2.2190298,1.3507903,1.8417136,-1.0951194
-3.7742403,.75032460,2.2370365,-1.5716610
-1.8081942,1.1419377,2.0680605,-1.3569944
-4.3896309,1.0212099,2.2183200,-.31812975
-3.7104688,1.2048568,1.8849873,-.41608287
-1.7042148,1.0923045,2.0722500,-1.4805210
-2.2257049,1.3028896,1.9097931,-1.3378179
-6.4655869,1.3988003,2.2643697,-.29829875
-1.2911937,.94804350,2.1040958,-1.0034507
-3.4433390,.72209427,2.1803931,-.50185046
-.91707096,1.0847836,2.0195152,-1.2580289
