ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
1,0,.16994314,.0000000,1,1,-1931.0579,-.21323792E-01,.53093705E-01,-.31703344E-01,-.31450226E-01,.65522189,1.4989197,-.46050189E-03
1,0,.17089819,.0000000,1,3,-1929.1576,-.16087407E-01,.44265663E-01,-.24649933E-01,-.21770650E-01,.66332503,1.4970888,-.87082770E-03
1,0,.17185278,.0000000,1,2,-1928.5185,-.14324087E-01,.39065145E-01,-.20464016E-01,-.14574873E-01,.66898619,1.4963314,-.17166260E-02
1,0,.17288667,.0000000,1,1,-1927.5802,-.13771360E-01,.33591322E-01,-.15943785E-01,-.99090298E-02,.67225214,1.4975715,-.14734482E-02
1,0,.17352309,.0000000,1,1,-1927.9611,-.16546146E-01,.34554954E-01,-.17581150E-01,-.12454405E-01,.67341004,1.4987596,-.19244159E-02
1,0,.17576881,.0000000,1,4,-1926.6142,-.80265243E-02,.19489235E-01,-.65026760E-02,-.52512972E-03,.69025574,1.4960917,-.33344118E-02
1,0,.17674590,.0000000,1,3,-1927.6253,-.79035913E-02,.20271801E-01,-.65279567E-02,.92648192E-03,.69172376,1.4950859,-.49772944E-02
1,0,.17737337,.0000000,1,1,-1928.0036,-.57605686E-02,.19902271E-01,-.56084628E-02,-.37569091E-03,.69503740,1.4951291,-.58027022E-02
1,0,.17792068,.0000000,1,1,-1928.4796,-.96224832E-02,.24845475E-01,-.84303189E-02,-.47117071E-02,.69154561,1.4962191,-.57514169E-02
1,0,.17943350,.28253158,1,2,-1928.0146,-.10368862E-01,.22914590E-01,-.75606382E-02,-.64206218E-02,.69030970,1.4968961,-.49549963E-02
1,0,.17961648,.0000000,1,1,-1929.1282,-.10793186E-01,.22263319E-01,-.66666863E-02,.63352918E-03,.69601099,1.4952116,-.73675509E-02
1,0,.18062361,.0000000,1,2,-1928.4610,-.92406507E-02,.21110679E-01,-.70590696E-02,-.71465703E-02,.69519481,1.4965652,-.60610499E-02
1,0,.18108081,.0000000,1,1,-1929.0513,-.12104002E-01,.21297658E-01,-.68626592E-02,-.41494681E-02,.69930486,1.4969572,-.73052120E-02
1,0,.18219606,.0000000,1,2,-1928.9164,-.13407088E-01,.20020863E-01,-.78887426E-02,-.52639153E-02,.69963529,1.4972228,-.71200038E-02
1,0,.18282993,.0000000,1,1,-1929.2703,-.14452409E-01,.27075417E-01,-.10823869E-01,-.12340324E-01,.69321938,1.4982614,-.64251868E-02
1,0,.18504248,.0000000,1,3,-1927.8692,-.61380538E-02,.14388857E-01,-.36695802E-02,-.38078764E-02,.70642530,1.4960026,-.61692029E-02
1,0,.18603150,.0000000,1,1,-1927.4392,-.76380631E-02,.14333393E-01,-.38367613E-02,-.33485128E-02,.70271029,1.4971063,-.54034937E-02
1,0,.18701813,.0000000,1,1,-1927.3904,-.84510051E-02,.15918717E-01,-.44590793E-02,-.95371633E-02,.70176181,1.4997107,-.47972300E-02
