SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
-1927.1217,.14358783,-.79582647E-01,.75184181E-03,-.17109319E-01,.59783597,1.4956318,-.14341895E-02
-1926.8573,.30232900,-.74659481E-01,.45933810E-01,.27621773E-01,.59188103,1.4971520,-.63212484E-03
-1924.8978,.93756955E-01,-.60500607E-03,.32492817E-01,.24327996E-01,.69783318,1.5012502,-.26681130E-02
-1924.1782,.10879057,-.35643066E-01,.33427596E-01,.78447872E-02,.64107150,1.4994268,-.44400988E-03
-1923.8290,.25490820E-02,-.61281800E-01,-.13497052E-01,.19344762E-01,.68325755,1.5000553,-.95253631E-03
-1925.7976,.21586479,-.10150548,.43920598E-01,.39643418E-01,.62604907,1.4981612,-.70560949E-03
-1925.9149,.27996145,-.59440239E-01,.70174736E-01,.43856695E-02,.56684835,1.5010084,.40040991E-04
-1924.8575,.11840866,.39037094E-03,.56520992E-01,.37917998E-01,.73135046,1.4986770,-.10186345E-02
-1924.5040,-.21846170E-01,-.15578506E-01,-.27571833E-01,.20818874E-01,.74838104,1.5015492,-.48356510E-03
-1925.8175,-.10944176,-.69104434E-02,-.83680954E-01,.16177793E-01,.73690627,1.5006493,-.68241975E-04
-1926.8878,.28382961,-.64322399E-02,.11827580,.55362762E-01,.66560498,1.5001258,-.60001316E-03
-1928.8259,.47750041E-01,-.93407926E-01,-.29493105E-01,.46795222E-01,.69208501,1.5025102,-.18384829E-02
-1924.9205,-.42341463E-01,-.38566577E-01,-.17040593E-01,.24722809E-01,.74507838,1.5019648,-.17127373E-02
-1924.2381,.15628232E-01,-.49882382E-01,-.11249091E-01,.25589625E-01,.69619273,1.4987375,-.15505858E-02
-1925.1189,-.17947666,-.34326698E-01,-.42848032E-01,.40695250E-01,.77884676,1.4997695,-.36336291E-03
-1924.6081,-.32067051E-02,-.25395920E-01,.28873225E-02,.39759649E-01,.69124417,1.4971065,-.17623028E-02
-1925.3090,-.11604625,-.37475827E-01,-.35760429E-01,.44778507E-01,.71214842,1.5018132,-.10114746E-02
-1924.6032,-.11731195,-.18367206E-01,-.28460331E-01,.36812597E-01,.76848209,1.4976041,-.15732374E-02
-1927.8794,-.20493047,-.21246996E-01,-.54903966E-01,.31996365E-01,.73674923,1.5015992,-.10520561E-02
-1928.5386,.24294891,-.34106867E-01,.39097921E-01,.98734040E-02,.66422018,1.4995353,-.22061061E-02
-1924.5135,.22660034,-.62630229E-01,.70537339E-01,.27957079E-01,.62410950,1.4997866,-.87273485E-04
-1925.4004,.12815176,-.11169274E-01,.55255844E-01,.46053745E-01,.68515623,1.4971626,-.20491560E-02
