ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
2,0,.29487201E-01,.0000000,50,56,-3.3467937,-9.7547146,14.423163,19.488738,.53387590
2,0,.29560454E-01,.0000000,50,20,-3.6145262,-9.9230316,15.587574,20.455319,.62769522
2,0,.29622346E-01,.0000000,50,20,-4.2465800,-9.5239192,14.189558,19.425031,-.21212447
2,0,.29302468E-01,.16845421E-01,50,100,-3.8487175,-9.9352060,15.051523,19.590622,-1.1148922
2,0,.29332731E-01,.0000000,50,2,-5.4601615,-10.715789,15.652857,19.379955,-2.1996206
2,0,.29478212E-01,.0000000,50,15,-4.9872232,-10.639077,12.953535,18.738036,-.27716802
2,0,.29461041E-01,.0000000,50,21,-5.8107418,-9.5204077,14.315459,20.924791,1.2959765
2,0,.29481190E-01,.17931024E-01,50,38,-4.3075946,-9.8541911,15.692713,21.711364,1.3159267
2,0,.29470955E-01,.0000000,50,23,-4.7720510,-9.1181001,16.503834,19.204600,-1.6669239
2,0,.29504288E-01,.0000000,50,29,-4.3927844,-9.0348866,16.194078,20.368475,.68811496
2,0,.29639751E-01,.0000000,50,13,-4.3428966,-8.9798420,14.071427,19.165879,.52349245
2,0,.29604819E-01,.10330975E-01,50,17,-6.1196021,-7.5600476,15.490334,19.068333,.65833566
2,0,.29838777E-01,.0000000,50,13,-5.2860833,-8.5085784,16.576057,19.144779,-.73123771
2,0,.29838683E-01,.0000000,50,14,-7.8619101,-7.5469574,17.422862,18.790239,-1.8252837
2,0,.29838393E-01,.0000000,49,1,-11.422152,-8.2319495,17.998220,19.677707,-2.7928619
2,0,.30182796E-01,.10620161E-01,49,10,-5.8992319,-7.9880988,15.274504,19.582377,.12983520
2,0,.30260803E-01,.0000000,49,8,-6.6426093,-8.3368912,13.682960,18.217781,.33218155
2,0,.30378342E-01,.0000000,49,18,-4.0352697,-9.5173215,14.116423,18.420510,-.77879580
2,0,.30351824E-01,.0000000,49,41,-3.4381676,-10.697225,13.815883,20.026173,.71793025
2,0,.30408530E-01,.95092228E-02,49,38,-3.2767323,-9.9088462,15.133137,19.643844,-.91334426
2,0,.30480881E-01,.0000000,49,1,-4.2204036,-11.619010,14.281617,20.314124,-.54958382
2,0,.30416172E-01,.0000000,49,17,-7.2895836,-12.699756,14.232244,21.742220,1.1071414
2,0,.30604836E-01,.0000000,49,2,-7.2664224,-12.559552,12.575969,20.613933,1.1681729
2,0,.30647394E-01,.18170392E-01,49,27,-6.3141889,-12.695443,13.753338,21.013989,.66762913E-01
2,0,.30841032E-01,.0000000,49,1,-6.2787313,-11.220344,14.271415,21.878619,1.0995981
2,0,.30958842E-01,.0000000,49,45,-3.6510444,-11.144310,15.236033,21.054102,.66769194E-01
2,0,.31089708E-01,.0000000,49,17,-4.0558218,-9.6247194,16.511194,20.504403,-.79482830
